k_tidur,l_tanah,l_bangunan,k_mandi,daerah,harga
3,63,62,2,Cimanggis,770000000
3,90,70,2,Cimanggis,897000000
3,60,54,2,Cimanggis,745000000
3,62,56,2,Cimanggis,823000000
3,63,62,2,Cimanggis,775000000
3,126,135,3,Cimanggis,1400000000
4,80,125,3,Cimanggis,1590000000
5,83,154,2,Cimanggis,1050000000
3,130,121,2,Cimanggis,1850000000
4,232,150,4,Cimanggis,2740000000
3,79,68,2,Cimanggis,898000000
3,126,135,3,Cimanggis,1400000000
3,50,60,2,Cimanggis,840000000
3,83,154,2,Cimanggis,1050000000
3,50,62,2,Cimanggis,766000000
3,63,56,2,Cimanggis,710000000
4,232,150,4,Cimanggis,2740000000
3,130,121,2,Cimanggis,1850000000
3,126,135,3,Cimanggis,1400000000
3,47,62,2,Cimanggis,855000000
3,74,110,2,Cimanggis,780000000
3,68,56,2,Cimanggis,800000000
3,126,135,3,Cimanggis,1400000000
4,185,105,4,Cimanggis,1590000000
3,61,60,2,Cimanggis,708000000
3,50,60,2,Cimanggis,750000000
3,131,160,2,Cimanggis,2340000000
4,105,130,2,Cimanggis,1620000000
2,55,48,2,Cimanggis,560000000
2,30,36,1,Cimanggis,419000000
3,65,92,2,Cimanggis,735000000
3,96,72,1,Cimanggis,930000000
3,60,72,3,Cimanggis,820000000
4,155,220,3,Cimanggis,3100000000
2,50,30,1,Cimanggis,540000000
3,61,62,3,Cimanggis,778446689
4,97,69,1,Cimanggis,970358117
2,57,53,2,Cimanggis,781630446
3,56,59,2,Cimanggis,831914599
4,63,67,3,Cimanggis,839995360
3,135,145,4,Cimanggis,1399090017
4,82,125,2,Cimanggis,1699874703
6,85,154,1,Cimanggis,1123577539
2,141,122,1,Cimanggis,1879692356
3,211,158,4,Cimanggis,2736360709
4,81,65,2,Cimanggis,844501591
2,133,128,2,Cimanggis,1473230586
2,48,65,2,Cimanggis,799696342
3,85,156,1,Cimanggis,963673846
4,45,67,3,Cimanggis,792541534
4,65,55,3,Cimanggis,772972933
3,233,152,5,Cimanggis,2475552625
3,134,117,3,Cimanggis,1704870386
3,134,131,2,Cimanggis,1462132183
3,46,62,1,Cimanggis,785063819
2,70,102,3,Cimanggis,764849325
3,69,53,2,Cimanggis,731618998
4,122,132,4,Cimanggis,1368943440
4,169,107,3,Cimanggis,1504241317
3,59,63,3,Cimanggis,656445627
2,52,60,3,Cimanggis,780328311
4,143,147,2,Cimanggis,2403189158
3,102,120,1,Cimanggis,1467657644
2,58,48,3,Cimanggis,593503314
3,29,35,0,Cimanggis,459581504
4,66,97,3,Cimanggis,719291913
4,93,76,1,Cimanggis,841551894
2,64,65,4,Cimanggis,901185830
4,144,205,2,Cimanggis,3404716077
3,45,30,2,Cimanggis,536925896
3,67,61,1,Cimanggis,727844567
3,85,64,2,Cimanggis,910619004
2,65,54,3,Cimanggis,722464943
4,58,52,1,Cimanggis,799415554
3,60,56,3,Cimanggis,826137404
3,129,127,3,Cimanggis,1356731419
5,72,126,3,Cimanggis,1595514166
5,87,145,3,Cimanggis,995413217
2,123,109,1,Cimanggis,1761654310
3,216,142,3,Cimanggis,2850128552
4,83,66,2,Cimanggis,823772826
2,125,132,2,Cimanggis,1357319262
4,52,56,3,Cimanggis,909354304
3,85,143,3,Cimanggis,963422072
2,45,58,1,Cimanggis,784474285
3,66,53,2,Cimanggis,740680487
3,239,160,5,Cimanggis,2786982552
4,135,125,3,Cimanggis,1767077983
4,128,125,3,Cimanggis,1463464874
3,45,58,2,Cimanggis,827655994
2,72,110,1,Cimanggis,821567045
4,64,59,3,Cimanggis,864202260
4,125,141,3,Cimanggis,1396614133
3,182,109,5,Cimanggis,1674527943
2,62,58,2,Cimanggis,648480955
3,47,61,2,Cimanggis,744648951
3,122,152,3,Cimanggis,2119132485
5,111,126,2,Cimanggis,1671247660
2,55,48,2,Cimanggis,511239090
3,30,33,0,Cimanggis,392718042
4,66,97,2,Cimanggis,722844610
2,91,78,1,Cimanggis,992415766
3,64,71,4,Cimanggis,767793506
4,163,216,2,Cimanggis,3031127504
1,53,29,2,Cimanggis,525782266
4,65,65,1,Cimanggis,791825653
3,84,72,3,Cimanggis,883786729
2,54,55,3,Cimanggis,680019644
4,60,55,2,Cimanggis,834813062
4,66,60,2,Cimanggis,843813261
2,118,145,4,Cimanggis,1462591244
3,74,135,2,Cimanggis,1539524186
4,75,166,2,Cimanggis,1144194258
4,141,117,1,Cimanggis,1827674889
4,237,141,3,Cimanggis,2547656778
3,85,72,1,Cimanggis,980192767
3,129,140,3,Cimanggis,1359532346
4,49,58,2,Cimanggis,845895594
3,86,156,1,Cimanggis,1149466414
3,46,64,1,Cimanggis,725927946
3,65,56,1,Cimanggis,704057543
5,247,137,3,Cimanggis,2732240838
2,121,112,1,Cimanggis,1952168059
3,129,137,2,Cimanggis,1336342113
3,45,61,1,Cimanggis,815660048
2,71,106,2,Cimanggis,807390509
2,65,54,1,Cimanggis,837092500
3,130,144,3,Cimanggis,1260840939
5,172,95,3,Cimanggis,1598884706
3,66,61,2,Cimanggis,762373543
2,51,54,3,Cimanggis,807356629
4,138,170,2,Cimanggis,2345502696
3,95,138,3,Cimanggis,1514535945
2,52,45,2,Cimanggis,529295829
2,31,38,2,Cimanggis,390200933
4,65,97,3,Cimanggis,799033937
4,104,69,1,Cimanggis,851477132
3,55,74,2,Cimanggis,854786338
5,160,201,3,Cimanggis,3331048175
2,46,30,0,Cimanggis,487419243
3,62,62,2,Cimanggis,820384153
3,85,63,2,Cimanggis,845000347
2,65,52,1,Cimanggis,756145865
3,67,52,1,Cimanggis,743256945
2,67,60,2,Cimanggis,785261141
2,132,135,3,Cimanggis,1468940540
3,74,124,2,Cimanggis,1660093740
4,78,166,1,Cimanggis,1035328801
3,123,123,1,Cimanggis,1811040544
5,252,135,5,Cimanggis,2826807229
3,81,62,2,Cimanggis,890818348
4,136,138,2,Cimanggis,1356242648
2,54,63,2,Cimanggis,899776989
3,90,166,2,Cimanggis,1068172638
4,50,61,3,Cimanggis,793639999
3,63,58,3,Cimanggis,651836512
3,211,154,4,Cimanggis,2860649072
3,117,130,2,Cimanggis,1931694288
3,121,126,3,Cimanggis,1307945380
4,50,58,2,Cimanggis,818766337
4,80,103,1,Cimanggis,707450149
2,64,52,1,Cimanggis,728703666
4,118,125,4,Cimanggis,1464659933
5,195,106,4,Cimanggis,1713724602
4,62,62,1,Cimanggis,724242257
4,54,56,3,Cimanggis,750893034
4,143,169,2,Cimanggis,2384858041
3,109,133,1,Cimanggis,1720597246
3,58,46,3,Cimanggis,519209176
3,30,36,1,Cimanggis,406260263
2,69,89,1,Cimanggis,668439087
2,89,69,2,Cimanggis,881399497
3,64,73,4,Cimanggis,802895469
5,151,221,3,Cimanggis,2891254202
2,48,28,2,Cimanggis,587397311
4,61,56,3,Cimanggis,820293588
3,92,71,2,Cimanggis,815228106
4,59,54,2,Cimanggis,777244277
2,59,54,3,Cimanggis,778051061
2,67,56,3,Cimanggis,748995854
4,130,125,4,Cimanggis,1426629908
5,79,131,2,Cimanggis,1748206270
5,85,153,2,Cimanggis,1110018697
2,121,119,2,Cimanggis,1823531271
3,251,136,4,Cimanggis,2470016397
4,81,69,3,Cimanggis,987040530
3,117,140,4,Cimanggis,1535682070
2,49,57,2,Cimanggis,773516757
3,78,143,3,Cimanggis,1035327445
3,53,66,2,Cimanggis,813077777
2,60,57,1,Cimanggis,658513047
3,247,160,5,Cimanggis,2496925519
3,132,126,3,Cimanggis,1733910612
4,124,146,2,Cimanggis,1496767832
2,48,58,3,Cimanggis,919627832
2,73,100,1,Cimanggis,829953801
3,68,60,2,Cimanggis,832975881
2,126,126,4,Cimanggis,1537214999
3,178,107,3,Cimanggis,1584080274
2,65,63,2,Cimanggis,675503706
4,52,58,3,Cimanggis,818849995
2,140,156,2,Cimanggis,2449303175
4,113,137,3,Cimanggis,1529769266
1,52,44,1,Cimanggis,507394551
3,32,34,2,Cimanggis,425415786
4,65,99,3,Cimanggis,704304392
3,91,66,2,Cimanggis,926879998
3,58,66,2,Cimanggis,810486868
3,141,219,3,Cimanggis,2903809724
3,45,30,1,Cimanggis,526166955
2,62,62,1,Cimanggis,801934877
4,86,70,3,Cimanggis,830297118
4,62,54,2,Cimanggis,710043093
3,59,54,1,Cimanggis,820706589
2,58,56,1,Cimanggis,708586009
4,126,130,3,Cimanggis,1474422862
4,74,126,2,Cimanggis,1552333696
4,90,154,3,Cimanggis,1035976048
3,130,125,3,Cimanggis,1781276575
3,227,142,4,Cimanggis,2916781681
3,85,72,2,Cimanggis,985333847
4,114,137,2,Cimanggis,1299034860
4,45,55,1,Cimanggis,820908031
2,89,159,1,Cimanggis,1130521464
2,51,61,3,Cimanggis,780995241
4,65,59,2,Cimanggis,688925544
5,240,148,3,Cimanggis,2887474038
2,134,126,3,Cimanggis,1820363846
2,133,145,4,Cimanggis,1524358824
3,48,58,2,Cimanggis,886629741
3,67,117,1,Cimanggis,727703011
3,72,56,2,Cimanggis,738687768
4,116,139,4,Cimanggis,1270841625
4,177,98,4,Cimanggis,1463291386
2,55,62,1,Cimanggis,683047049
3,50,64,2,Cimanggis,808934330
4,120,156,1,Cimanggis,2483039149
3,97,129,1,Cimanggis,1757418145
3,55,51,2,Cimanggis,614014756
1,29,37,2,Cimanggis,407522980
2,65,100,2,Cimanggis,731019123
2,92,68,1,Cimanggis,1002516451
2,65,73,4,Cimanggis,877508298
5,164,222,3,Cimanggis,3400683123
3,52,29,2,Cimanggis,531219796
2,67,64,1,Cimanggis,699920967
2,89,75,2,Cimanggis,899413906
4,55,55,3,Cimanggis,775041975
3,58,54,1,Cimanggis,794512280
2,61,65,3,Cimanggis,770052399
4,123,147,3,Cimanggis,1364053062
3,73,130,3,Cimanggis,1494193055
5,90,168,1,Cimanggis,994091644
3,132,112,2,Cimanggis,1958804482
4,224,149,3,Cimanggis,2619426703
3,81,63,3,Cimanggis,834786816
4,114,130,4,Cimanggis,1462475645
2,49,61,3,Cimanggis,793179462
4,79,151,1,Cimanggis,1055037104
4,53,65,1,Cimanggis,796135176
3,67,58,2,Cimanggis,667426914
5,236,137,5,Cimanggis,2639132808
4,126,109,1,Cimanggis,1810243046
3,137,142,2,Cimanggis,1293755061
4,47,64,3,Cimanggis,905161934
4,77,109,3,Cimanggis,743952997
4,67,56,3,Cimanggis,802562181
2,119,131,2,Cimanggis,1275445188
3,201,98,3,Cimanggis,1655656672
3,64,63,3,Cimanggis,683134828
2,46,59,1,Cimanggis,688878550
2,135,149,3,Cimanggis,2200497414
4,110,119,1,Cimanggis,1560518952
2,58,46,2,Cimanggis,510461269
1,29,35,2,Cimanggis,417408281
4,62,97,1,Cimanggis,777076574
4,99,75,1,Cimanggis,878987286
4,59,71,4,Cimanggis,819299030
5,147,235,2,Cimanggis,3307179616
3,50,29,2,Cimanggis,538453163
4,64,56,2,Cimanggis,703964251
3,81,75,3,Cimanggis,910507187
4,61,50,2,Cimanggis,722724804
3,64,59,2,Cimanggis,840642167
2,68,58,3,Cimanggis,735623744
4,118,126,2,Cimanggis,1527042937
4,81,118,2,Cimanggis,1461658776
