"k_tidur","l_tanah","l_bangunan","k_mandi","daerah","harga"
"3","63","62","2","Cimanggis","770000000"
"3","90","70","2","Cimanggis","897000000"
"3","60","54","2","Cimanggis","745000000"
"3","62","56","2","Cimanggis","823000000"
"3","63","62","2","Cimanggis","775000000"
"3","126","135","3","Cimanggis","1400000000"
"4","80","125","3","Cimanggis","1590000000"
"5","83","154","2","Cimanggis","1050000000"
"3","130","121","2","Cimanggis","1850000000"
"4","232","150","4","Cimanggis","2740000000"
"3","79","68","2","Cimanggis","898000000"
"3","126","135","3","Cimanggis","1400000000"
"3","50","60","2","Cimanggis","840000000"
"3","83","154","2","Cimanggis","1050000000"
"3","50","62","2","Cimanggis","766000000"
"3","63","56","2","Cimanggis","710000000"
"4","232","150","4","Cimanggis","2740000000"
"3","130","121","2","Cimanggis","1850000000"
"3","126","135","3","Cimanggis","1400000000"
"3","47","62","2","Cimanggis","855000000"
"3","74","110","2","Cimanggis","780000000"
"3","68","56","2","Cimanggis","800000000"
"3","126","135","3","Cimanggis","1400000000"
"4","185","105","4","Cimanggis","1590000000"
"3","61","60","2","Cimanggis","708000000"
"3","50","60","2","Cimanggis","750000000"
"3","131","160","2","Cimanggis","2340000000"
"4","105","130","2","Cimanggis","1620000000"
"2","55","48","2","Cimanggis","560000000"
